IncidentKey,IncidentId,CreatedAtUTC,AcknowledgedAtUTC,TriagedAtUTC,ContainedAtUTC,ResolvedAtUTC,ClosedAtUTC,CreatedDateKey,CreatedTimeKey,SourceProductKey,AssetKey,DetectionRuleKey,SeverityKey,StatusKey,AnalystKey,ClassificationKey,SLAKey,AlertKey,IncidentCount,RiskScore,AcknowledgementMinutes,TriageMinutes,ContainmentMinutes,ResolutionMinutes,RecoveryMinutes,IsEscalated,IsReopened,IsFalsePositive,SLAOverallMet,DataClassification
913,INC-00000913,2025-06-12T09:05:26Z,2025-06-12T10:01:26Z,2025-06-12T10:20:26Z,2025-06-12T13:44:26Z,2025-06-12T20:35:26Z,2025-06-13T06:09:26Z,20250612,905,6,150,24,2,5,2,1,2,9339,1,71.3,56.0,75.0,279.0,690.0,574.0,True,False,False,True,SYNTHETIC_DEMO_DATA
914,INC-00000914,2025-05-16T08:04:27Z,2025-05-16T08:26:27Z,2025-05-16T08:38:27Z,2025-05-16T10:10:27Z,2025-05-16T21:17:27Z,2025-05-16T22:35:27Z,20250516,800,7,11,13,1,5,12,1,1,3520,1,40.9,22.0,34.0,126.0,793.0,78.0,False,False,False,True,SYNTHETIC_DEMO_DATA
915,INC-00000915,2025-05-05T11:37:35Z,2025-05-05T12:26:35Z,2025-05-05T12:31:35Z,2025-05-05T13:05:35Z,2025-05-05T14:00:35Z,2025-05-05T15:53:35Z,20250505,1135,5,44,40,1,5,5,1,1,730,1,29.1,49.0,54.0,88.0,143.0,113.0,False,False,False,True,SYNTHETIC_DEMO_DATA
916,INC-00000916,2025-02-14T14:25:50Z,2025-02-14T14:38:50Z,2025-02-14T15:05:50Z,2025-02-14T17:57:50Z,2025-02-14T21:42:50Z,2025-02-15T00:04:50Z,20250214,1425,1,101,26,1,5,16,4,1,6576,1,33.0,13.0,40.0,212.0,437.0,142.0,False,False,False,True,SYNTHETIC_DEMO_DATA
917,INC-00000917,2026-02-03T09:18:37Z,2026-02-03T09:43:37Z,2026-02-03T09:54:37Z,2026-02-03T10:55:37Z,2026-02-03T13:03:37Z,2026-02-03T18:01:37Z,20260203,915,1,154,33,4,5,12,4,4,187,1,100,25.0,36.0,97.0,225.0,298.0,True,False,False,True,SYNTHETIC_DEMO_DATA
918,INC-00000918,2025-08-30T12:03:55Z,,,,,,20250830,1200,6,212,18,1,1,2,0,1,1862,1,48.3,,,,,,False,False,False,False,SYNTHETIC_DEMO_DATA
919,INC-00000919,2026-03-14T16:43:30Z,2026-03-14T16:56:30Z,2026-03-14T17:15:30Z,2026-03-14T20:37:30Z,2026-03-15T02:32:30Z,2026-03-15T08:41:30Z,20260314,1640,6,96,11,1,5,13,3,1,11763,1,44.7,13.0,32.0,234.0,589.0,369.0,False,False,True,True,SYNTHETIC_DEMO_DATA
920,INC-00000920,2026-07-11T15:31:23Z,2026-07-11T15:53:23Z,2026-07-11T16:08:23Z,2026-07-11T21:40:23Z,2026-07-12T00:45:23Z,2026-07-12T06:17:23Z,20260711,1530,3,140,19,2,5,7,4,2,6709,1,62.2,22.0,37.0,369.0,554.0,332.0,False,False,False,True,SYNTHETIC_DEMO_DATA
921,INC-00000921,2025-06-04T16:28:20Z,2025-06-04T16:40:20Z,2025-06-04T17:41:20Z,2025-06-04T18:42:20Z,2025-06-05T13:09:20Z,2025-06-05T19:35:20Z,20250604,1625,5,104,31,2,5,18,1,2,16602,1,64.9,12.0,73.0,134.0,1241.0,386.0,False,False,False,True,SYNTHETIC_DEMO_DATA
922,INC-00000922,2025-05-03T14:38:28Z,2025-05-03T15:15:28Z,2025-05-03T15:32:28Z,2025-05-03T16:43:28Z,2025-05-03T18:07:28Z,2025-05-04T00:42:28Z,20250503,1435,3,38,17,3,5,12,1,3,7790,1,63.2,37.0,54.0,125.0,209.0,395.0,False,False,False,True,SYNTHETIC_DEMO_DATA
923,INC-00000923,2026-03-09T15:31:31Z,2026-03-09T15:39:31Z,2026-03-09T15:56:31Z,2026-03-09T17:08:31Z,2026-03-09T18:24:31Z,2026-03-09T23:12:31Z,20260309,1530,1,225,26,1,5,3,4,1,9561,1,27.8,8.0,25.0,97.0,173.0,288.0,False,False,False,True,SYNTHETIC_DEMO_DATA
924,INC-00000924,2025-04-29T09:35:35Z,2025-04-29T10:27:35Z,2025-04-29T10:39:35Z,2025-04-29T13:02:35Z,2025-04-29T14:33:35Z,2025-04-29T22:29:35Z,20250429,935,6,21,39,2,5,15,1,2,8374,1,62.1,52.0,64.0,207.0,298.0,476.0,True,False,False,True,SYNTHETIC_DEMO_DATA
925,INC-00000925,2025-08-22T09:01:21Z,2025-08-22T09:16:21Z,2025-08-22T09:46:21Z,2025-08-22T10:07:21Z,2025-08-22T10:26:21Z,2025-08-22T18:54:21Z,20250822,900,6,3,44,3,5,9,1,3,5393,1,67.3,15.0,45.0,66.0,85.0,508.0,False,False,False,True,SYNTHETIC_DEMO_DATA
926,INC-00000926,2026-04-08T03:44:00Z,2026-04-08T04:01:00Z,2026-04-08T04:11:00Z,2026-04-08T05:06:00Z,2026-04-08T07:08:00Z,2026-04-08T15:03:00Z,20260408,340,7,1,10,2,5,1,1,2,13663,1,62.1,17.0,27.0,82.0,204.0,475.0,False,False,False,True,SYNTHETIC_DEMO_DATA
927,INC-00000927,2026-07-02T08:40:13Z,2026-07-02T09:15:13Z,2026-07-02T09:21:13Z,2026-07-02T09:55:13Z,2026-07-02T11:00:13Z,,20260702,840,3,183,12,1,4,11,1,1,1343,1,33.0,35.0,41.0,75.0,140.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
928,INC-00000928,2025-03-15T09:18:43Z,2025-03-15T09:24:43Z,2025-03-15T10:12:43Z,2025-03-15T10:48:43Z,2025-03-15T11:20:43Z,2025-03-15T20:11:43Z,20250315,915,7,54,43,5,5,8,4,5,11933,1,100,6.0,54.0,90.0,122.0,531.0,True,False,False,False,SYNTHETIC_DEMO_DATA
929,INC-00000929,2026-06-05T00:41:59Z,2026-06-05T01:06:59Z,2026-06-05T02:29:59Z,2026-06-05T04:20:59Z,2026-06-05T06:39:59Z,,20260605,40,7,206,38,3,4,17,1,3,15221,1,58.7,25.0,108.0,219.0,358.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
930,INC-00000930,2026-04-10T12:22:04Z,2026-04-10T12:30:04Z,2026-04-10T12:42:04Z,2026-04-10T13:08:04Z,2026-04-11T04:54:04Z,2026-04-11T14:04:04Z,20260410,1220,7,123,10,2,5,9,1,2,1703,1,60.5,8.0,20.0,46.0,992.0,550.0,False,False,False,True,SYNTHETIC_DEMO_DATA
931,INC-00000931,2026-04-07T10:14:53Z,2026-04-07T10:33:53Z,2026-04-07T10:52:53Z,2026-04-07T15:07:53Z,2026-04-08T01:29:53Z,,20260407,1010,5,153,6,1,4,1,1,1,8012,1,21.6,19.0,38.0,293.0,915.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
932,INC-00000932,2026-01-04T12:31:51Z,2026-01-04T12:42:51Z,2026-01-04T12:59:51Z,2026-01-04T14:05:51Z,2026-01-04T19:48:51Z,2026-01-05T05:26:51Z,20260104,1230,1,113,21,2,5,13,3,2,1037,1,69.8,11.0,28.0,94.0,437.0,578.0,False,False,True,True,SYNTHETIC_DEMO_DATA
933,INC-00000933,2025-02-17T12:32:04Z,2025-02-17T12:57:04Z,2025-02-17T13:26:04Z,2025-02-17T14:54:04Z,2025-02-18T00:05:04Z,2025-02-18T03:18:04Z,20250217,1230,4,19,2,1,5,5,1,1,7725,1,40.3,25.0,54.0,142.0,693.0,193.0,False,False,False,True,SYNTHETIC_DEMO_DATA
934,INC-00000934,2026-04-06T10:28:42Z,2026-04-06T11:00:42Z,2026-04-06T11:48:42Z,2026-04-06T12:51:42Z,2026-04-06T13:59:42Z,2026-04-07T01:19:42Z,20260406,1025,4,73,22,1,5,16,3,1,8194,1,41.3,32.0,80.0,143.0,211.0,680.0,False,False,True,True,SYNTHETIC_DEMO_DATA
935,INC-00000935,2025-04-18T11:20:35Z,2025-04-18T11:48:35Z,2025-04-18T12:05:35Z,2025-04-18T13:49:35Z,,,20250418,1120,6,180,33,3,3,11,0,3,2158,1,66.3,28.0,45.0,149.0,,,True,False,False,False,SYNTHETIC_DEMO_DATA
936,INC-00000936,2025-09-12T13:37:02Z,2025-09-12T14:13:02Z,2025-09-12T14:59:02Z,2025-09-12T17:24:02Z,2025-09-13T00:10:02Z,2025-09-13T01:52:02Z,20250912,1335,6,84,4,1,5,2,3,1,12928,1,42.3,36.0,82.0,227.0,633.0,102.0,False,False,True,True,SYNTHETIC_DEMO_DATA
937,INC-00000937,2025-09-07T17:34:31Z,2025-09-07T17:48:31Z,2025-09-07T18:13:31Z,2025-09-07T22:19:31Z,2025-09-08T12:13:31Z,2025-09-08T20:55:31Z,20250907,1730,3,30,40,1,5,13,4,1,5480,1,39.5,14.0,39.0,285.0,1119.0,522.0,False,False,False,True,SYNTHETIC_DEMO_DATA
938,INC-00000938,2025-09-26T13:02:42Z,2025-09-26T14:08:42Z,2025-09-26T14:53:42Z,2025-09-26T16:01:42Z,2025-09-26T18:26:42Z,2025-09-26T22:25:42Z,20250926,1300,6,1,31,1,5,6,1,1,3204,1,48.3,66.0,111.0,179.0,324.0,239.0,False,False,False,True,SYNTHETIC_DEMO_DATA
939,INC-00000939,2026-03-18T14:22:09Z,2026-03-18T15:07:09Z,2026-03-18T15:16:09Z,2026-03-18T16:14:09Z,2026-03-18T21:16:09Z,2026-03-19T06:21:09Z,20260318,1420,5,87,17,1,5,17,1,1,461,1,42.6,45.0,54.0,112.0,414.0,545.0,False,False,False,True,SYNTHETIC_DEMO_DATA
940,INC-00000940,2026-05-06T18:47:13Z,2026-05-06T18:54:13Z,2026-05-06T19:09:13Z,2026-05-06T20:10:13Z,2026-05-06T20:33:13Z,2026-05-07T02:26:13Z,20260506,1845,1,152,10,2,5,11,3,2,16008,1,43.1,7.0,22.0,83.0,106.0,353.0,False,False,True,True,SYNTHETIC_DEMO_DATA
941,INC-00000941,2025-10-07T23:57:46Z,2025-10-08T00:17:46Z,2025-10-08T00:30:46Z,2025-10-08T03:15:46Z,2025-10-08T04:44:46Z,2025-10-08T10:41:46Z,20251007,2355,6,20,14,3,5,5,2,3,13249,1,69.4,20.0,33.0,198.0,287.0,357.0,False,False,True,True,SYNTHETIC_DEMO_DATA
942,INC-00000942,2025-06-05T16:19:51Z,2025-06-05T16:43:51Z,2025-06-05T16:53:51Z,2025-06-05T19:27:51Z,2025-06-06T01:59:51Z,2025-06-06T13:38:51Z,20250605,1615,5,176,29,1,5,14,3,1,5581,1,49.4,24.0,34.0,188.0,580.0,699.0,False,False,True,True,SYNTHETIC_DEMO_DATA
943,INC-00000943,2026-03-25T13:01:25Z,2026-03-25T13:10:25Z,2026-03-25T13:49:25Z,2026-03-25T14:42:25Z,2026-03-25T15:03:25Z,2026-03-25T22:07:25Z,20260325,1300,1,175,30,5,5,11,2,5,4564,1,100,9.0,48.0,101.0,122.0,424.0,True,False,True,False,SYNTHETIC_DEMO_DATA
944,INC-00000944,2026-06-12T15:41:31Z,2026-06-12T15:46:31Z,2026-06-12T16:01:31Z,2026-06-12T16:59:31Z,2026-06-13T00:44:31Z,2026-06-13T11:09:31Z,20260612,1540,7,213,30,2,5,1,3,2,13318,1,60.9,5.0,20.0,78.0,543.0,625.0,False,False,True,True,SYNTHETIC_DEMO_DATA
945,INC-00000945,2026-02-28T13:01:17Z,2026-02-28T13:28:17Z,2026-02-28T13:43:17Z,2026-02-28T15:17:17Z,2026-02-28T18:30:17Z,2026-02-28T20:47:17Z,20260228,1300,2,91,16,2,5,12,1,2,12740,1,60.3,27.0,42.0,136.0,329.0,137.0,False,False,False,True,SYNTHETIC_DEMO_DATA
946,INC-00000946,2025-04-24T17:13:04Z,2025-04-24T18:15:04Z,2025-04-24T18:25:04Z,2025-04-24T20:04:04Z,2025-04-25T02:43:04Z,2025-04-25T10:42:04Z,20250424,1710,5,176,10,2,5,5,3,2,8105,1,76.5,62.0,72.0,171.0,570.0,479.0,True,False,True,True,SYNTHETIC_DEMO_DATA
947,INC-00000947,2025-07-15T07:27:01Z,2025-07-15T07:43:01Z,2025-07-15T07:52:01Z,2025-07-15T09:13:01Z,2025-07-15T12:59:01Z,2025-07-15T19:34:01Z,20250715,725,5,31,40,1,5,15,1,1,11012,1,31.6,16.0,25.0,106.0,332.0,395.0,False,False,False,True,SYNTHETIC_DEMO_DATA
948,INC-00000948,2025-11-19T15:00:32Z,2025-11-19T16:07:32Z,2025-11-19T17:23:32Z,2025-11-19T17:40:32Z,2025-11-19T21:13:32Z,2025-11-20T05:13:32Z,20251119,1500,7,226,6,3,5,10,1,3,10841,1,73.7,67.0,143.0,160.0,373.0,480.0,False,False,False,False,SYNTHETIC_DEMO_DATA
949,INC-00000949,2025-05-22T13:47:24Z,2025-05-22T14:07:24Z,2025-05-22T14:17:24Z,2025-05-22T15:12:24Z,2025-05-22T18:01:24Z,2025-05-23T03:27:24Z,20250522,1345,3,59,32,2,5,2,1,2,4876,1,64.1,20.0,30.0,85.0,254.0,566.0,False,False,False,True,SYNTHETIC_DEMO_DATA
950,INC-00000950,2026-06-05T06:17:12Z,2026-06-05T06:47:12Z,2026-06-05T07:25:12Z,2026-06-05T15:16:12Z,2026-06-05T17:36:12Z,2026-06-06T02:11:12Z,20260605,615,6,8,39,2,5,13,4,2,2009,1,50.9,30.0,68.0,539.0,679.0,515.0,False,False,False,True,SYNTHETIC_DEMO_DATA
951,INC-00000951,2025-03-07T07:56:20Z,2025-03-07T08:17:20Z,2025-03-07T08:22:20Z,,,,20250307,755,1,187,19,2,2,6,0,2,13929,1,52.5,21.0,26.0,,,,False,False,False,False,SYNTHETIC_DEMO_DATA
952,INC-00000952,2026-03-03T17:13:19Z,2026-03-03T18:09:19Z,2026-03-03T18:27:19Z,2026-03-03T21:30:19Z,2026-03-04T07:19:19Z,2026-03-04T15:38:19Z,20260303,1710,7,200,18,1,5,16,1,1,5537,1,38.5,56.0,74.0,257.0,846.0,499.0,False,False,False,True,SYNTHETIC_DEMO_DATA
953,INC-00000953,2026-04-14T02:43:37Z,2026-04-14T03:02:37Z,2026-04-14T03:21:37Z,2026-04-14T07:03:37Z,2026-04-14T13:41:37Z,,20260414,240,7,218,11,3,4,11,4,3,16736,1,65.4,19.0,38.0,260.0,658.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
954,INC-00000954,2026-06-25T10:55:25Z,2026-06-25T11:15:25Z,2026-06-25T13:02:25Z,2026-06-25T14:35:25Z,2026-06-25T15:30:25Z,2026-06-25T19:13:25Z,20260625,1055,3,206,6,3,5,4,1,3,12682,1,63.0,20.0,127.0,220.0,275.0,223.0,False,True,False,True,SYNTHETIC_DEMO_DATA
955,INC-00000955,2025-04-25T01:23:34Z,2025-04-25T01:26:34Z,2025-04-25T02:35:34Z,2025-04-25T03:28:34Z,2025-04-25T04:51:34Z,2025-04-25T16:22:34Z,20250425,120,5,153,17,4,5,16,4,4,7623,1,85.5,3.0,72.0,125.0,208.0,691.0,True,False,False,True,SYNTHETIC_DEMO_DATA
956,INC-00000956,2025-07-21T11:30:55Z,2025-07-21T11:49:55Z,2025-07-21T12:27:55Z,2025-07-21T13:15:55Z,2025-07-21T16:28:55Z,2025-07-22T02:58:55Z,20250721,1130,7,92,3,2,5,7,1,2,11042,1,51.3,19.0,57.0,105.0,298.0,630.0,False,False,False,True,SYNTHETIC_DEMO_DATA
957,INC-00000957,2026-01-08T12:29:11Z,2026-01-08T12:44:11Z,2026-01-08T12:55:11Z,2026-01-08T13:40:11Z,2026-01-08T17:59:11Z,2026-01-09T04:10:11Z,20260108,1225,5,209,40,1,5,17,1,1,967,1,54.7,15.0,26.0,71.0,330.0,611.0,True,False,False,True,SYNTHETIC_DEMO_DATA
958,INC-00000958,2025-07-28T12:19:54Z,2025-07-28T12:24:54Z,2025-07-28T12:36:54Z,2025-07-28T12:53:54Z,2025-07-29T08:18:54Z,2025-07-29T18:35:54Z,20250728,1215,2,165,18,1,5,10,1,1,4602,1,41.6,5.0,17.0,34.0,1199.0,617.0,False,False,False,True,SYNTHETIC_DEMO_DATA
959,INC-00000959,2025-07-31T15:31:53Z,2025-07-31T15:42:53Z,2025-07-31T15:49:53Z,2025-07-31T18:55:53Z,2025-08-01T03:09:53Z,2025-08-01T04:52:53Z,20250731,1530,1,218,4,1,5,3,1,1,5103,1,42.9,11.0,18.0,204.0,698.0,103.0,False,False,False,True,SYNTHETIC_DEMO_DATA
960,INC-00000960,2026-05-29T09:01:10Z,2026-05-29T09:13:10Z,2026-05-29T09:40:10Z,2026-05-29T15:58:10Z,2026-05-30T00:27:10Z,2026-05-30T07:32:10Z,20260529,900,1,83,29,1,5,14,1,1,8814,1,40.3,12.0,39.0,417.0,926.0,425.0,False,False,False,True,SYNTHETIC_DEMO_DATA
961,INC-00000961,2025-02-28T14:48:25Z,2025-02-28T15:48:25Z,2025-02-28T16:04:25Z,2025-02-28T16:42:25Z,2025-03-01T01:49:25Z,2025-03-01T02:27:25Z,20250228,1445,6,196,39,1,5,7,2,1,16509,1,33.5,60.0,76.0,114.0,661.0,38.0,False,False,True,True,SYNTHETIC_DEMO_DATA
962,INC-00000962,2025-05-01T10:58:25Z,2025-05-01T11:11:25Z,2025-05-01T12:16:25Z,2025-05-01T15:34:25Z,2025-05-01T16:42:25Z,2025-05-02T04:00:25Z,20250501,1055,6,54,45,1,5,18,1,1,16329,1,22.1,13.0,78.0,276.0,344.0,678.0,False,False,False,True,SYNTHETIC_DEMO_DATA
963,INC-00000963,2026-02-16T10:27:50Z,2026-02-16T11:03:50Z,2026-02-16T11:31:50Z,2026-02-16T14:59:50Z,2026-02-16T22:50:50Z,2026-02-17T10:40:50Z,20260216,1025,3,32,38,1,5,11,1,1,2919,1,46.6,36.0,64.0,272.0,743.0,710.0,False,False,False,True,SYNTHETIC_DEMO_DATA
964,INC-00000964,2025-05-13T16:30:24Z,2025-05-13T16:45:24Z,2025-05-13T17:10:24Z,2025-05-13T20:21:24Z,2025-05-14T15:39:24Z,2025-05-14T17:29:24Z,20250513,1630,6,101,42,1,5,4,1,1,7548,1,36.5,15.0,40.0,231.0,1389.0,110.0,False,False,False,True,SYNTHETIC_DEMO_DATA
965,INC-00000965,2025-10-21T06:28:48Z,,,,,,20251021,625,6,135,23,3,1,17,0,3,3264,1,52.4,,,,,,False,False,False,False,SYNTHETIC_DEMO_DATA
966,INC-00000966,2025-11-17T16:39:00Z,2025-11-17T17:03:00Z,2025-11-17T17:18:00Z,2025-11-17T17:56:00Z,2025-11-17T20:09:00Z,2025-11-18T02:11:00Z,20251117,1635,1,193,25,2,5,9,1,2,1329,1,48.4,24.0,39.0,77.0,210.0,362.0,False,False,False,True,SYNTHETIC_DEMO_DATA
967,INC-00000967,2026-02-16T10:00:58Z,2026-02-16T10:20:58Z,2026-02-16T10:41:58Z,2026-02-16T14:38:58Z,2026-02-16T20:08:58Z,2026-02-17T01:01:58Z,20260216,1000,6,42,18,1,5,1,1,1,17362,1,40.7,20.0,41.0,278.0,608.0,293.0,False,False,False,True,SYNTHETIC_DEMO_DATA
968,INC-00000968,2025-02-24T10:21:13Z,2025-02-24T10:27:13Z,2025-02-24T10:38:13Z,2025-02-24T13:11:13Z,2025-02-24T15:21:13Z,,20250224,1020,2,222,35,1,4,12,2,1,15341,1,53.3,6.0,17.0,170.0,300.0,,True,False,True,True,SYNTHETIC_DEMO_DATA
969,INC-00000969,2025-12-13T16:21:00Z,,,,,,20251213,1620,5,48,21,2,1,6,0,2,10402,1,52.9,,,,,,False,False,False,False,SYNTHETIC_DEMO_DATA
970,INC-00000970,2026-03-08T19:07:25Z,2026-03-08T19:47:25Z,2026-03-08T20:59:25Z,2026-03-09T00:45:25Z,2026-03-09T10:48:25Z,2026-03-09T14:20:25Z,20260308,1905,7,17,2,1,5,16,1,1,15930,1,27.8,40.0,112.0,338.0,941.0,212.0,False,False,False,True,SYNTHETIC_DEMO_DATA
971,INC-00000971,2026-06-24T11:07:49Z,2026-06-24T11:25:49Z,2026-06-24T11:39:49Z,2026-06-24T16:39:49Z,2026-06-24T21:31:49Z,,20260624,1105,3,200,33,3,4,11,3,3,17112,1,68.7,18.0,32.0,332.0,624.0,,False,False,True,True,SYNTHETIC_DEMO_DATA
972,INC-00000972,2025-10-22T12:31:35Z,2025-10-22T12:49:35Z,2025-10-22T12:55:35Z,2025-10-22T13:23:35Z,2025-10-22T14:37:35Z,2025-10-22T19:21:35Z,20251022,1230,6,104,18,4,5,5,2,4,1939,1,100,18.0,24.0,52.0,126.0,284.0,True,False,True,True,SYNTHETIC_DEMO_DATA
973,INC-00000973,2025-03-08T23:35:27Z,2025-03-09T00:03:27Z,2025-03-09T00:16:27Z,2025-03-09T03:30:27Z,2025-03-09T05:02:27Z,2025-03-09T08:45:27Z,20250308,2335,2,175,43,1,5,13,1,1,11365,1,36.7,28.0,41.0,235.0,327.0,223.0,False,False,False,True,SYNTHETIC_DEMO_DATA
974,INC-00000974,2026-01-28T14:51:34Z,2026-01-28T15:26:34Z,2026-01-28T15:45:34Z,2026-01-28T18:21:34Z,2026-01-28T20:48:34Z,2026-01-28T21:36:34Z,20260128,1450,3,226,30,2,5,7,1,2,15653,1,58.5,35.0,54.0,210.0,357.0,48.0,False,False,False,True,SYNTHETIC_DEMO_DATA
975,INC-00000975,2026-05-12T12:04:06Z,,,,,,20260512,1200,7,8,29,1,1,17,0,1,6117,1,33.6,,,,,,False,False,False,False,SYNTHETIC_DEMO_DATA
976,INC-00000976,2025-07-04T22:01:09Z,2025-07-04T22:18:09Z,2025-07-04T22:43:09Z,2025-07-05T00:39:09Z,2025-07-05T04:38:09Z,2025-07-05T09:53:09Z,20250704,2200,3,77,36,1,5,10,1,1,17374,1,53.1,17.0,42.0,158.0,397.0,315.0,False,False,False,True,SYNTHETIC_DEMO_DATA
977,INC-00000977,2025-07-29T10:27:40Z,2025-07-29T10:56:40Z,2025-07-29T11:06:40Z,2025-07-29T17:35:40Z,2025-07-29T19:55:40Z,,20250729,1025,6,217,39,1,4,3,1,1,6085,1,43.0,29.0,39.0,428.0,568.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
978,INC-00000978,2026-02-16T15:02:29Z,2026-02-16T16:01:29Z,2026-02-16T16:31:29Z,2026-02-16T20:35:29Z,2026-02-17T09:57:29Z,2026-02-17T13:09:29Z,20260216,1500,3,142,35,1,5,14,1,1,10626,1,42.0,59.0,89.0,333.0,1135.0,192.0,False,False,False,True,SYNTHETIC_DEMO_DATA
979,INC-00000979,2025-03-04T15:01:13Z,2025-03-04T15:58:13Z,2025-03-04T16:06:13Z,2025-03-04T17:22:13Z,2025-03-04T22:26:13Z,2025-03-05T06:49:13Z,20250304,1500,3,86,41,3,5,9,4,3,11675,1,93.4,57.0,65.0,141.0,445.0,503.0,True,False,False,True,SYNTHETIC_DEMO_DATA
980,INC-00000980,2025-12-07T10:33:22Z,2025-12-07T10:39:22Z,2025-12-07T10:57:22Z,2025-12-07T11:25:22Z,2025-12-07T14:15:22Z,2025-12-07T15:23:22Z,20251207,1030,5,63,44,4,5,3,3,4,17142,1,85.3,6.0,24.0,52.0,222.0,68.0,True,False,True,True,SYNTHETIC_DEMO_DATA
981,INC-00000981,2025-11-21T20:26:31Z,2025-11-21T20:30:31Z,2025-11-21T20:45:31Z,2025-11-21T22:09:31Z,2025-11-22T00:06:31Z,2025-11-22T08:19:31Z,20251121,2025,6,72,8,3,5,13,2,3,5835,1,52.0,4.0,19.0,103.0,220.0,493.0,False,False,True,True,SYNTHETIC_DEMO_DATA
982,INC-00000982,2025-09-20T18:16:19Z,2025-09-20T18:21:19Z,2025-09-20T18:52:19Z,2025-09-20T19:35:19Z,2025-09-20T20:03:19Z,2025-09-21T05:24:19Z,20250920,1815,6,27,42,1,5,4,1,1,9971,1,28.5,5.0,36.0,79.0,107.0,561.0,False,False,False,True,SYNTHETIC_DEMO_DATA
983,INC-00000983,2025-07-06T21:43:37Z,2025-07-06T21:46:37Z,2025-07-06T21:52:37Z,2025-07-06T22:17:37Z,2025-07-06T23:27:37Z,2025-07-07T03:41:37Z,20250706,2140,7,211,13,3,5,17,3,3,13559,1,58.9,3.0,9.0,34.0,104.0,254.0,False,False,True,True,SYNTHETIC_DEMO_DATA
984,INC-00000984,2025-08-21T17:19:36Z,2025-08-21T17:26:36Z,2025-08-21T17:56:36Z,2025-08-22T00:53:36Z,,,20250821,1715,2,231,43,1,3,8,0,1,1832,1,44.9,7.0,37.0,454.0,,,False,False,False,False,SYNTHETIC_DEMO_DATA
985,INC-00000985,2025-08-20T08:48:33Z,2025-08-20T09:24:33Z,2025-08-20T09:35:33Z,2025-08-20T14:32:33Z,2025-08-20T22:56:33Z,,20250820,845,1,161,4,1,4,1,2,1,10664,1,27.9,36.0,47.0,344.0,848.0,,False,False,True,True,SYNTHETIC_DEMO_DATA
986,INC-00000986,2025-10-08T09:23:53Z,2025-10-08T09:28:53Z,2025-10-08T10:01:53Z,2025-10-08T18:18:53Z,2025-10-08T22:53:53Z,2025-10-09T08:09:53Z,20251008,920,3,170,35,1,5,12,1,1,15706,1,28.7,5.0,38.0,535.0,810.0,556.0,False,False,False,True,SYNTHETIC_DEMO_DATA
987,INC-00000987,2025-11-21T04:50:37Z,2025-11-21T05:08:37Z,2025-11-21T06:10:37Z,2025-11-21T09:18:37Z,2025-11-21T12:46:37Z,,20251121,450,5,2,21,1,4,5,1,1,11206,1,35.3,18.0,80.0,268.0,476.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
988,INC-00000988,2026-07-18T16:10:30Z,2026-07-18T16:17:30Z,2026-07-18T17:02:30Z,2026-07-18T19:41:30Z,2026-07-18T20:43:30Z,2026-07-19T08:41:30Z,20260718,1610,2,164,28,1,5,16,1,1,8974,1,38.9,7.0,52.0,211.0,273.0,718.0,False,False,False,True,SYNTHETIC_DEMO_DATA
989,INC-00000989,2025-05-06T23:15:26Z,2025-05-06T23:27:26Z,2025-05-07T01:07:26Z,2025-05-07T01:37:26Z,2025-05-07T02:42:26Z,2025-05-07T08:54:26Z,20250506,2315,2,63,7,3,5,11,1,3,2423,1,52.7,12.0,112.0,142.0,207.0,372.0,False,False,False,True,SYNTHETIC_DEMO_DATA
990,INC-00000990,2025-04-07T00:46:57Z,2025-04-07T01:08:57Z,2025-04-07T01:24:57Z,2025-04-07T03:20:57Z,2025-04-07T10:32:57Z,,20250407,45,2,154,1,1,4,2,3,1,9934,1,55.4,22.0,38.0,154.0,586.0,,True,False,True,True,SYNTHETIC_DEMO_DATA
991,INC-00000991,2025-06-05T17:46:01Z,2025-06-05T18:17:01Z,2025-06-05T18:23:01Z,2025-06-05T18:42:01Z,2025-06-05T22:54:01Z,2025-06-06T10:27:01Z,20250605,1745,1,5,5,1,5,13,1,1,7437,1,54.4,31.0,37.0,56.0,308.0,693.0,False,False,False,True,SYNTHETIC_DEMO_DATA
992,INC-00000992,2025-12-02T14:03:11Z,2025-12-02T15:30:11Z,2025-12-02T16:15:11Z,,,,20251202,1400,4,66,31,1,2,6,0,1,6043,1,33.5,87.0,132.0,,,,False,False,False,False,SYNTHETIC_DEMO_DATA
993,INC-00000993,2025-06-19T09:32:44Z,2025-06-19T09:52:44Z,2025-06-19T10:12:44Z,2025-06-19T10:31:44Z,2025-06-19T11:11:44Z,,20250619,930,3,188,19,1,4,17,1,1,16430,1,31.4,20.0,40.0,59.0,99.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
